"decimalLongitude","decimalLatitude"
37.80285,48.015883
21.863197,50.134837
19.122699,47.516697
36.22899,50.003815
32.492669,50.333725
36.187634,49.952309
21.17129,52.374377
36.088543,49.882409
18.7718,47.829
35.117577,45.030765
35.987016,49.735274
39.709231,47.240115
18.771005,50.224055
20.071222,52.308008
30.162265,40.734731
30.162417,40.734745
18.527826,50.040671
30.766713,50.052951
31.994583,46.975033
30.131085,49.796798
38.35907,48.154468
35.046183,48.464717
32.616867,46.635417
24.029717,49.839683
30.239783,50.51875
37.543367,47.097133
26.251617,50.6199
38.029633,48.3071
34.612862,48.516033
36.212241,49.999926
39.307815,48.574041
27.598055,53.957537
19.188145,50.899137
18.318679,52.238412
27.598912,53.957803
36.347417,49.587575
20.174217,50.176608
27.62379,42.02698
24.711117,48.922633
37.456304,44.755815
30.188172,50.369728
35.178725,47.780377
30.449835,50.573333
36.04459,49.799814
36.152739,49.748705
21.55993,53.592027
35.970733,49.773673
36.009683,49.77868
36.249796,49.905089
19.31506,49.078174
34.834655,50.907179
36.256594,49.856521
36.331909,49.82883
36.357744,49.676037
36.354302,49.680867
18.75787,50.292265
21.10417,52.009686
18.702238,49.247861
19.836002,50.158037
36.284728,49.805069
36.295427,49.805568
36.347783,49.787608
36.281976,49.860584
36.258927,49.877112
36.249046,49.880348
29.369461,48.215656
36.207974,49.998069
22.198614,50.422444
19.969754,50.050114
30.802558,46.575654
30.803614,46.58963
30.800543,46.587237
36.228941,50.019803
36.219931,50.034385
36.227123,50.006581
36.210068,49.979346
34.559428,48.594403
36.371618,50.038174
36.287266,50.053645
36.230383,49.9935
36.228689,50.00243
32.707268,46.619932
36.26627,50.00229
36.224627,50.035598
36.359885,50.038365
36.244745,50.009509
36.226284,50.036455
33.367821,46.751525
36.248827,49.999361
36.227225,50.010785
33.391783,47.910483
28.468217,49.233083
30.7909,50.511083
30.72331,46.482526
25.849087,51.343655
27.792929,48.458439
25.935837,48.292079
35.139567,47.8388
34.634186,47.501507
24.575968,48.6212
32.059767,49.444433
36.803478,46.773771
24.129058,49.474504
35.3587,46.855022
32.262317,48.507933
30.685011,46.484698
30.795023,46.591065
30.780661,46.587061
36.256912,49.970462
36.224839,50.023574
36.293893,50.057117
36.235633,49.999509
36.169459,50.028514
36.253395,49.953064
36.194561,50.057421
36.048676,49.994971
36.402643,49.914591
36.222374,50.019242
36.239215,50.000893
36.18405,49.987298
36.238129,49.994456
36.227079,50.006029
36.35494,50.038558
26.987133,49.422983
34.551417,49.588267
38.487877,48.948177
30.358515,50.408758
36.681312,49.836316
35.224157,48.632961
25.041205,48.530492
23.510558,49.27603
25.738311,48.646993
38.426429,48.911081
25.772309,49.666976
31.852233,49.227717
30.675087,50.414669
27.627633,53.924488
36.227779,50.004872
30.784521,46.585987
30.781104,46.584962
36.249027,50.000119
36.249028,50.000119
36.282242,49.977784
36.21252,50.017327
36.34779,50.036211
36.234743,49.995032
36.255298,49.991418
36.328547,50.013376
36.234171,50.005935
36.298228,50.027487
36.224689,50.000597
36.40982,49.922044
37.608513,48.848551
33.448388,47.924098
36.407591,49.915285
36.235048,50.007102
36.233895,49.99999
37.278468,49.189375
36.229072,49.997724
36.221256,50.015437
36.287627,50.0546
36.236111,50.035605
36.154415,49.986987
36.327173,50.026044
36.334142,50.019087
36.129339,50.091939
39.231197,48.737247
33.410033,49.065783
37.6053,48.8532
25.454469,48.408445
38.37514,49.016121
25.594767,49.553517
26.650084,50.333973
27.598882,53.957903
27.59904,53.957963
36.226365,49.985677
36.343035,49.979784
36.234439,49.919306
36.21595,50.005479
36.363637,50.037994
36.246685,49.933304
36.294395,50.029451
36.243872,50.015737
26.582536,48.696716
35.057134,47.795049
36.277198,50.139589
36.22132,50.001305
35.903257,48.529448
30.213517,50.553333
36.529023,49.594438
22.287883,48.6208
36.115503,50.109721
30.95615,50.3482
24.731317,49.123771
33.8732,46.4595
32.5097,46.0809
36.06879,48.521437
35.049306,47.967203
34.599284,48.625139
35.188902,51.014837
30.289281,50.262316
33.271654,49.009103
21.237034,51.615337
36.349131,50.029688
36.325927,49.951297
36.23416,50.017575
36.3316,50.024649
36.304943,50.005711
36.205073,50.070233
36.34803,50.027869
21.180123,52.201361
36.347599,50.021965
36.232238,49.99913
36.237257,50.083575
20.870336,52.345594
36.467034,50.040349
25.325383,50.747233
36.214943,50.01063
36.218734,49.964671
21.619597,47.557563
18.620214,53.076998
35.206511,47.784481
36.25628,50.02256
36.318896,50.014876
36.234458,50.008156
36.218195,49.999941
36.248482,49.985529
36.34292,50.024128
36.342032,50.027986
36.248733,49.98928
38.463524,48.882502
36.293628,50.058622
36.231723,49.996768
35.06398,48.430206
36.186399,49.988907
36.237312,49.99406
30.333094,50.488378
37.707581,48.523943
36.308001,48.890236
30.201623,46.489488
22.123978,50.159839
34.573366,48.59714
35.163795,47.828278
35.166927,47.831046
35.229516,47.782371
35.200626,47.797415
38.428915,48.906066
36.35738,50.034087
36.403992,49.91447
36.343196,50.015616
36.216751,50.010611
36.246101,50.003414
36.184234,49.990989
